time_step,type,pixels
1,cities,11
1,settlements,827
1,streets,48649
1,additional_built-up,3141
2,cities,11
2,settlements,839
2,streets,48649
2,additional_built-up,3776
3,cities,11
3,settlements,851
3,streets,48649
3,additional_built-up,4411
4,cities,11
4,settlements,861
4,streets,48649
4,additional_built-up,4950
5,cities,11
5,settlements,871
5,streets,48649
5,additional_built-up,5489
6,cities,11
6,settlements,881
6,streets,48649
6,additional_built-up,6028
7,cities,11
7,settlements,891
7,streets,48649
7,additional_built-up,6567
8,cities,11
8,settlements,901
8,streets,48649
8,additional_built-up,7106
9,cities,11
9,settlements,911
9,streets,48649
9,additional_built-up,7645
10,cities,11
10,settlements,921
10,streets,48649
10,additional_built-up,8184
11,cities,11
11,settlements,931
11,streets,48649
11,additional_built-up,8723
12,cities,11
12,settlements,941
12,streets,48649
12,additional_built-up,9262
13,cities,11
13,settlements,951
13,streets,48649
13,additional_built-up,9801
14,cities,11
14,settlements,959
14,streets,48649
14,additional_built-up,10208
15,cities,11
15,settlements,967
15,streets,48649
15,additional_built-up,10615
16,cities,11
16,settlements,975
16,streets,48649
16,additional_built-up,11022
17,cities,11
17,settlements,983
17,streets,48649
17,additional_built-up,11429
18,cities,11
18,settlements,991
18,streets,48649
18,additional_built-up,11836
19,cities,11
19,settlements,999
19,streets,48649
19,additional_built-up,12243
20,cities,11
20,settlements,1007
20,streets,48649
20,additional_built-up,12650
21,cities,11
21,settlements,1015
21,streets,48649
21,additional_built-up,13057
22,cities,11
22,settlements,1023
22,streets,48649
22,additional_built-up,13464
23,cities,11
23,settlements,1031
23,streets,48649
23,additional_built-up,13871
24,cities,11
24,settlements,1037
24,streets,48649
24,additional_built-up,14128
25,cities,11
25,settlements,1043
25,streets,48649
25,additional_built-up,14385
26,cities,11
26,settlements,1049
26,streets,48649
26,additional_built-up,14642
27,cities,11
27,settlements,1055
27,streets,48649
27,additional_built-up,14899
28,cities,11
28,settlements,1061
28,streets,48649
28,additional_built-up,15156
29,cities,11
29,settlements,1067
29,streets,48649
29,additional_built-up,15413
30,cities,11
30,settlements,1073
30,streets,48649
30,additional_built-up,15670
31,cities,11
31,settlements,1079
31,streets,48649
31,additional_built-up,15927
32,cities,11
32,settlements,1085
32,streets,48649
32,additional_built-up,16184
33,cities,11
33,settlements,1091
33,streets,48649
33,additional_built-up,16441
34,cities,11
34,settlements,1094
34,streets,48649
34,additional_built-up,16547
35,cities,11
35,settlements,1097
35,streets,48649
35,additional_built-up,16653
36,cities,11
36,settlements,1100
36,streets,48649
36,additional_built-up,16759
37,cities,11
37,settlements,1103
37,streets,48649
37,additional_built-up,16865
38,cities,11
38,settlements,1106
38,streets,48649
38,additional_built-up,16971
39,cities,11
39,settlements,1109
39,streets,48649
39,additional_built-up,17077
40,cities,11
40,settlements,1112
40,streets,48649
40,additional_built-up,17183
41,cities,11
41,settlements,1115
41,streets,48649
41,additional_built-up,17289
42,cities,11
42,settlements,1118
42,streets,48649
42,additional_built-up,17395
43,cities,11
43,settlements,1121
43,streets,48649
43,additional_built-up,17501
44,cities,11
44,settlements,1121
44,streets,48649
44,additional_built-up,17501
45,cities,11
45,settlements,1121
45,streets,48649
45,additional_built-up,17501
46,cities,11
46,settlements,1121
46,streets,48649
46,additional_built-up,17501
47,cities,11
47,settlements,1121
47,streets,48649
47,additional_built-up,17501
48,cities,11
48,settlements,1121
48,streets,48649
48,additional_built-up,17501
49,cities,11
49,settlements,1121
49,streets,48649
49,additional_built-up,17501
50,cities,11
50,settlements,1121
50,streets,48649
50,additional_built-up,17501
51,cities,11
51,settlements,1121
51,streets,48649
51,additional_built-up,17501
52,cities,11
52,settlements,1121
52,streets,48649
52,additional_built-up,17501
53,cities,11
53,settlements,1121
53,streets,48649
53,additional_built-up,17501
54,cities,11
54,settlements,1121
54,streets,48649
54,additional_built-up,17501
55,cities,11
55,settlements,1121
55,streets,48649
55,additional_built-up,17501
56,cities,11
56,settlements,1121
56,streets,48649
56,additional_built-up,17501
57,cities,11
57,settlements,1121
57,streets,48649
57,additional_built-up,17501
58,cities,11
58,settlements,1121
58,streets,48649
58,additional_built-up,17501
59,cities,11
59,settlements,1121
59,streets,48649
59,additional_built-up,17501
60,cities,11
60,settlements,1121
60,streets,48649
60,additional_built-up,17501
61,cities,11
61,settlements,1121
61,streets,48649
61,additional_built-up,17501
62,cities,11
62,settlements,1121
62,streets,48649
62,additional_built-up,17501
63,cities,11
63,settlements,1121
63,streets,48649
63,additional_built-up,17501
64,cities,11
64,settlements,1121
64,streets,48649
64,additional_built-up,17501
65,cities,11
65,settlements,1121
65,streets,48649
65,additional_built-up,17501
66,cities,11
66,settlements,1121
66,streets,48649
66,additional_built-up,17501
67,cities,11
67,settlements,1121
67,streets,48649
67,additional_built-up,17501
68,cities,11
68,settlements,1121
68,streets,48649
68,additional_built-up,17501
69,cities,11
69,settlements,1121
69,streets,48649
69,additional_built-up,17501
70,cities,11
70,settlements,1121
70,streets,48649
70,additional_built-up,17501
71,cities,11
71,settlements,1121
71,streets,48649
71,additional_built-up,17501
72,cities,11
72,settlements,1121
72,streets,48649
72,additional_built-up,17501
73,cities,11
73,settlements,1121
73,streets,48649
73,additional_built-up,17501
74,cities,11
74,settlements,1121
74,streets,48649
74,additional_built-up,17501
75,cities,11
75,settlements,1121
75,streets,48649
75,additional_built-up,17501
76,cities,11
76,settlements,1121
76,streets,48649
76,additional_built-up,17501
77,cities,11
77,settlements,1121
77,streets,48649
77,additional_built-up,17501
78,cities,11
78,settlements,1121
78,streets,48649
78,additional_built-up,17501
79,cities,11
79,settlements,1121
79,streets,48649
79,additional_built-up,17501
80,cities,11
80,settlements,1121
80,streets,48649
80,additional_built-up,17501
81,cities,11
81,settlements,1121
81,streets,48649
81,additional_built-up,17501
82,cities,11
82,settlements,1121
82,streets,48649
82,additional_built-up,17501
83,cities,11
83,settlements,1121
83,streets,48649
83,additional_built-up,17501
