time_step,demand_type,mean_demand,mean_unallocated_demand
1,LUT02,11668.0,0.0
1,LUT03,305071.0,0.0
1,LUT04,287945.0,0.0
1,LUT05,119725.0,0.0
1,AGB,11846.521999999999,0.0
2,LUT02,11727.0,0.0
2,LUT03,307916.0,0.0
2,LUT04,289657.0,0.0
2,LUT05,104029.0,0.0
2,AGB,11476.385000000004,0.0
3,LUT02,11781.0,0.0
3,LUT03,310727.0,0.0
3,LUT04,291331.0,0.0
3,LUT05,90391.0,0.0
3,AGB,11116.152,0.0
4,LUT02,11837.0,0.0
4,LUT03,313557.0,0.0
4,LUT04,293008.0,0.0
4,LUT05,78541.0,0.0
4,AGB,10746.407999999998,0.0
5,LUT02,11895.0,0.0
5,LUT03,316414.0,0.0
5,LUT04,294699.0,0.0
5,LUT05,68244.0,0.0
5,AGB,10387.907999999998,0.0
6,LUT02,11954.0,0.0
6,LUT03,319350.0,0.0
6,LUT04,296453.0,0.0
6,LUT05,59297.0,0.0
6,AGB,10040.348,0.0
7,LUT02,12010.0,0.0
7,LUT03,322249.0,0.0
7,LUT04,298162.0,0.0
7,LUT05,51523.0,0.0
7,AGB,9703.490999999993,0.0
8,LUT02,12068.0,0.0
8,LUT03,325173.0,0.0
8,LUT04,299882.0,0.0
8,LUT05,44769.0,0.0
8,AGB,9377.038999999993,0.0
9,LUT02,12126.0,0.0
9,LUT03,328183.0,0.0
9,LUT04,301671.0,0.0
9,LUT05,38899.0,0.0
9,AGB,9060.719999999988,0.0
10,LUT02,12184.0,0.0
10,LUT03,331152.0,0.0
10,LUT04,303411.0,0.0
10,LUT05,33800.0,0.0
10,AGB,8754.266999999994,0.0
11,LUT02,12244.0,0.0
11,LUT03,334148.0,0.0
11,LUT04,305160.0,0.0
11,LUT05,29369.0,0.0
11,AGB,8457.397999999992,0.0
12,LUT02,12300.0,0.0
12,LUT03,337166.0,0.0
12,LUT04,306921.0,0.0
12,LUT05,25518.0,0.0
12,AGB,8169.890000000009,0.0
13,LUT02,12363.0,0.0
13,LUT03,340273.0,0.0
13,LUT04,308754.0,0.0
13,LUT05,22173.0,0.0
13,AGB,7891.468999999998,0.0
14,LUT02,12421.0,0.0
14,LUT03,343341.0,0.0
14,LUT04,310536.0,0.0
14,LUT05,19266.0,0.0
14,AGB,7604.818000000008,0.0
15,LUT02,12480.0,0.0
15,LUT03,346432.0,0.0
15,LUT04,312327.0,0.0
15,LUT05,16740.0,0.0
15,AGB,7328.228000000002,0.0
16,LUT02,12543.0,0.0
16,LUT03,349618.0,0.0
16,LUT04,314194.0,0.0
16,LUT05,14546.0,0.0
16,AGB,7061.363000000006,0.0
17,LUT02,12600.0,0.0
17,LUT03,352760.0,0.0
17,LUT04,316010.0,0.0
17,LUT05,12639.0,0.0
17,AGB,6803.912000000005,0.0
18,LUT02,12663.0,0.0
18,LUT03,355927.0,0.0
18,LUT04,317837.0,0.0
18,LUT05,10982.0,0.0
18,AGB,6555.532999999997,0.0
19,LUT02,12722.0,0.0
19,LUT03,359120.0,0.0
19,LUT04,319674.0,0.0
19,LUT05,9542.0,0.0
19,AGB,6315.934000000004,0.0
20,LUT02,12786.0,0.0
20,LUT03,362410.0,0.0
20,LUT04,321585.0,0.0
20,LUT05,8291.0,0.0
20,AGB,6084.818999999998,0.0
21,LUT02,12844.0,0.0
21,LUT03,365654.0,0.0
21,LUT04,323444.0,0.0
21,LUT05,7204.0,0.0
21,AGB,5861.902000000001,0.0
22,LUT02,12908.0,0.0
22,LUT03,368927.0,0.0
22,LUT04,325319.0,0.0
22,LUT05,6260.0,0.0
22,AGB,5646.905000000001,0.0
23,LUT02,12971.0,0.0
23,LUT03,372299.0,0.0
23,LUT04,327264.0,0.0
23,LUT05,5439.0,0.0
23,AGB,5439.559000000002,0.0
24,LUT02,13033.0,0.0
24,LUT03,375622.0,0.0
24,LUT04,329159.0,0.0
24,LUT05,4726.0,0.0
24,AGB,5227.154000000003,0.0
25,LUT02,13095.0,0.0
25,LUT03,378974.0,0.0
25,LUT04,331068.0,0.0
25,LUT05,4106.0,0.0
25,AGB,5022.958000000006,0.0
26,LUT02,13157.0,0.0
26,LUT03,382355.0,0.0
26,LUT04,332984.0,0.0
26,LUT05,3568.0,0.0
26,AGB,4826.649999999996,0.0
27,LUT02,13221.0,0.0
27,LUT03,385836.0,0.0
27,LUT04,334982.0,0.0
27,LUT05,3100.0,0.0
27,AGB,4637.945000000004,0.0
28,LUT02,13286.0,0.0
28,LUT03,389272.0,0.0
28,LUT04,336926.0,0.0
28,LUT05,2694.0,0.0
28,AGB,4456.5359999999955,0.0
29,LUT02,13350.0,0.0
29,LUT03,392734.0,0.0
29,LUT04,338882.0,0.0
29,LUT05,2341.0,0.0
29,AGB,4282.1609999999955,0.0
30,LUT02,13416.0,0.0
30,LUT03,396306.0,0.0
30,LUT04,340917.0,0.0
30,LUT05,2034.0,0.0
30,AGB,4114.540999999998,0.0
31,LUT02,13479.0,0.0
31,LUT03,399826.0,0.0
31,LUT04,342900.0,0.0
31,LUT05,1767.0,0.0
31,AGB,3953.4120000000016,0.0
32,LUT02,13545.0,0.0
32,LUT03,403373.0,0.0
32,LUT04,344893.0,0.0
32,LUT05,1535.0,0.0
32,AGB,3798.538999999998,0.0
33,LUT02,13608.0,0.0
33,LUT03,406951.0,0.0
33,LUT04,346896.0,0.0
33,LUT05,1334.0,0.0
33,AGB,3649.6689999999967,0.0
34,LUT02,13676.0,0.0
34,LUT03,410642.0,0.0
34,LUT04,348988.0,0.0
34,LUT05,1159.0,0.0
34,AGB,3498.442000000001,0.0
35,LUT02,13743.0,0.0
35,LUT03,414280.0,0.0
35,LUT04,351020.0,0.0
35,LUT05,1007.0,0.0
35,AGB,3353.471,0.0
36,LUT02,13809.0,0.0
36,LUT03,417947.0,0.0
36,LUT04,353065.0,0.0
36,LUT05,875.0,0.0
36,AGB,3214.5,0.0
37,LUT02,13878.0,0.0
37,LUT03,421731.0,0.0
37,LUT04,355195.0,0.0
37,LUT05,760.0,0.0
37,AGB,3081.2789999999995,0.0
38,LUT02,13943.0,0.0
38,LUT03,425460.0,0.0
38,LUT04,357267.0,0.0
38,LUT05,661.0,0.0
38,AGB,2953.5719999999988,0.0
39,LUT02,14011.0,0.0
39,LUT03,429221.0,0.0
39,LUT04,359353.0,0.0
39,LUT05,574.0,0.0
39,AGB,2831.145000000001,0.0
40,LUT02,14079.0,0.0
40,LUT03,433008.0,0.0
40,LUT04,361451.0,0.0
40,LUT05,499.0,0.0
40,AGB,2713.790999999999,0.0
41,LUT02,14149.0,0.0
41,LUT03,436924.0,0.0
41,LUT04,363640.0,0.0
41,LUT05,433.0,0.0
41,AGB,2601.293999999998,0.0
42,LUT02,14215.0,0.0
42,LUT03,440777.0,0.0
42,LUT04,365764.0,0.0
42,LUT05,377.0,0.0
42,AGB,2493.4550000000013,0.0
43,LUT02,14284.0,0.0
43,LUT03,444663.0,0.0
43,LUT04,367906.0,0.0
43,LUT05,327.0,0.0
43,AGB,2390.078999999999,0.0
44,LUT02,14270.0,0.0
44,LUT03,446007.0,0.0
44,LUT04,367938.0,0.0
44,LUT05,284.0,0.0
44,AGB,2287.216,0.0
45,LUT02,14258.0,0.0
45,LUT03,447357.0,0.0
45,LUT04,367974.0,0.0
45,LUT05,247.0,0.0
45,AGB,2188.7759999999985,0.0
46,LUT02,14244.0,0.0
46,LUT03,448702.0,0.0
46,LUT04,368006.0,0.0
46,LUT05,215.0,0.0
46,AGB,2094.5760000000005,0.0
47,LUT02,14229.0,0.0
47,LUT03,450049.0,0.0
47,LUT04,368035.0,0.0
47,LUT05,187.0,0.0
47,AGB,2004.4299999999978,0.0
48,LUT02,14215.0,0.0
48,LUT03,451301.0,0.0
48,LUT04,367991.0,0.0
48,LUT05,162.0,0.0
48,AGB,1918.1640000000004,0.0
49,LUT02,14200.0,0.0
49,LUT03,452649.0,0.0
49,LUT04,368024.0,0.0
49,LUT05,141.0,0.0
49,AGB,1835.607999999998,0.0
50,LUT02,14186.0,0.0
50,LUT03,453995.0,0.0
50,LUT04,368057.0,0.0
50,LUT05,122.0,0.0
50,AGB,1756.6079999999984,0.0
51,LUT02,14172.0,0.0
51,LUT03,455343.0,0.0
51,LUT04,368090.0,0.0
51,LUT05,106.0,0.0
51,AGB,1681.006999999999,0.0
52,LUT02,14157.0,0.0
52,LUT03,456591.0,0.0
52,LUT04,368044.0,0.0
52,LUT05,92.0,0.0
52,AGB,1608.6609999999987,0.0
53,LUT02,14143.0,0.0
53,LUT03,457940.0,0.0
53,LUT04,368076.0,0.0
53,LUT05,80.0,0.0
53,AGB,1539.428,0.0
54,LUT02,14151.0,0.0
54,LUT03,460005.0,0.0
54,LUT04,368685.0,0.0
54,LUT05,70.0,0.0
54,AGB,1471.169999999999,0.0
55,LUT02,14157.0,0.0
55,LUT03,461981.0,0.0
55,LUT04,369216.0,0.0
55,LUT05,61.0,0.0
55,AGB,1405.9380000000012,0.0
56,LUT02,14166.0,0.0
56,LUT03,464066.0,0.0
56,LUT04,369834.0,0.0
56,LUT05,53.0,0.0
56,AGB,1343.5970000000011,0.0
57,LUT02,14174.0,0.0
57,LUT03,466163.0,0.0
57,LUT04,370457.0,0.0
57,LUT05,46.0,0.0
57,AGB,1284.017,0.0
58,LUT02,14179.0,0.0
58,LUT03,468169.0,0.0
58,LUT04,371003.0,0.0
58,LUT05,40.0,0.0
58,AGB,1227.0760000000007,0.0
59,LUT02,14189.0,0.0
59,LUT03,470288.0,0.0
59,LUT04,371636.0,0.0
59,LUT05,35.0,0.0
59,AGB,1172.6589999999999,0.0
60,LUT02,14196.0,0.0
60,LUT03,472317.0,0.0
60,LUT04,372195.0,0.0
60,LUT05,30.0,0.0
60,AGB,1120.6520000000012,0.0
61,LUT02,14206.0,0.0
61,LUT03,474457.0,0.0
61,LUT04,372839.0,0.0
61,LUT05,26.0,0.0
61,AGB,1070.9499999999991,0.0
62,LUT02,14210.0,0.0
62,LUT03,476507.0,0.0
62,LUT04,373406.0,0.0
62,LUT05,23.0,0.0
62,AGB,1023.4499999999994,0.0
63,LUT02,14219.0,0.0
63,LUT03,478567.0,0.0
63,LUT04,373981.0,0.0
63,LUT05,20.0,0.0
63,AGB,978.0539999999988,0.0
64,LUT02,14248.0,0.0
64,LUT03,481398.0,0.0
64,LUT04,375152.0,0.0
64,LUT05,17.0,0.0
64,AGB,933.5109999999992,0.0
65,LUT02,14278.0,0.0
65,LUT03,484260.0,0.0
65,LUT04,376342.0,0.0
65,LUT05,15.0,0.0
65,AGB,890.99,0.0
66,LUT02,14305.0,0.0
66,LUT03,487054.0,0.0
66,LUT04,377469.0,0.0
66,LUT05,13.0,0.0
66,AGB,850.3980000000005,0.0
67,LUT02,14335.0,0.0
67,LUT03,489987.0,0.0
67,LUT04,378700.0,0.0
67,LUT05,11.0,0.0
67,AGB,811.6510000000003,0.0
68,LUT02,14365.0,0.0
68,LUT03,492845.0,0.0
68,LUT04,379867.0,0.0
68,LUT05,10.0,0.0
68,AGB,774.664,0.0
69,LUT02,14399.0,0.0
69,LUT03,495850.0,0.0
69,LUT04,381140.0,0.0
69,LUT05,8.0,0.0
69,AGB,739.3570000000003,0.0
70,LUT02,14428.0,0.0
70,LUT03,498784.0,0.0
70,LUT04,382352.0,0.0
70,LUT05,7.0,0.0
70,AGB,705.6529999999993,0.0
71,LUT02,14459.0,0.0
71,LUT03,501749.0,0.0
71,LUT04,383582.0,0.0
71,LUT05,6.0,0.0
71,AGB,673.4809999999999,0.0
72,LUT02,14492.0,0.0
72,LUT03,504756.0,0.0
72,LUT04,384834.0,0.0
72,LUT05,6.0,0.0
72,AGB,642.7720000000006,0.0
73,LUT02,14523.0,0.0
73,LUT03,507800.0,0.0
73,LUT04,386110.0,0.0
73,LUT05,5.0,0.0
73,AGB,613.4579999999995,0.0
74,LUT02,14570.0,0.0
74,LUT03,511329.0,0.0
74,LUT04,387745.0,0.0
74,LUT05,4.0,0.0
74,AGB,585.0560000000004,0.0
75,LUT02,14617.0,0.0
75,LUT03,514918.0,0.0
75,LUT04,389420.0,0.0
75,LUT05,4.0,0.0
75,AGB,557.9619999999996,0.0
76,LUT02,14665.0,0.0
76,LUT03,518570.0,0.0
76,LUT04,391132.0,0.0
76,LUT05,3.0,0.0
76,AGB,532.1169999999995,0.0
77,LUT02,14713.0,0.0
77,LUT03,522285.0,0.0
77,LUT04,392879.0,0.0
77,LUT05,3.0,0.0
77,AGB,507.4629999999998,0.0
78,LUT02,14761.0,0.0
78,LUT03,525946.0,0.0
78,LUT04,394579.0,0.0
78,LUT05,2.0,0.0
78,AGB,483.94499999999977,0.0
79,LUT02,14811.0,0.0
79,LUT03,529673.0,0.0
79,LUT04,396319.0,0.0
79,LUT05,2.0,0.0
79,AGB,461.51099999999985,0.0
80,LUT02,14865.0,0.0
80,LUT03,533588.0,0.0
80,LUT04,398191.0,0.0
80,LUT05,2.0,0.0
80,AGB,440.11300000000006,0.0
81,LUT02,14918.0,0.0
81,LUT03,537453.0,0.0
81,LUT04,400014.0,0.0
81,LUT05,2.0,0.0
81,AGB,419.70100000000053,0.0
82,LUT02,14971.0,0.0
82,LUT03,541387.0,0.0
82,LUT04,401882.0,0.0
82,LUT05,1.0,0.0
82,AGB,400.22999999999973,0.0
83,LUT02,15022.0,0.0
83,LUT03,545269.0,0.0
83,LUT04,403698.0,0.0
83,LUT05,1.0,0.0
83,AGB,381.65799999999973,0.0
